id,tournament_id,match_id,duel_format,time_utc,custom_time,player_1_id,player_2_id,dw1,dw2,status,created_at,updated_at,updated_by,deleted_by,deleted_at,created_by,duel_number,results_last_error,results_checked_at,rating_full,rating
7a2c476a-782a-4576-88b3-d9784e0eb2f8,Friendly-Matches,20260328UKRARG,Bo3,2026-03-28T13:00:00.000Z,0,97238273,,,,Planned,"2026-03-13 10:19:40","2026-03-13 10:25:08",84375106,84375106,"2026-03-13 10:25:08",84375106,,,,,
6d2c6fe0-7b0a-4c0b-ad59-ecab6bcd9a8d,Friendly-Matches,20260328UKRARG,Bo3,2026-03-28T13:00:00.000Z,0,85577871,,,,Planned,"2026-03-13 10:19:40","2026-03-13 10:25:08",84375106,84375106,"2026-03-13 10:25:08",84375106,,,,,
cb36abef-0a42-49da-b3a4-9c1f34f483c6,Friendly-Matches,20260328UKRARG,Bo3,2026-03-28T13:00:00.000Z,0,96885694,,,,Planned,"2026-03-13 10:19:40","2026-03-13 10:20:40",84375106,84375106,"2026-03-13 10:20:40",84375106,,,,,
5a37c950-1dc0-416d-9c42-030869b183fd,Friendly-Matches,20260328UKRARG,Bo3,2026-03-28T13:00:00.000Z,0,86771532,,,,Planned,"2026-03-13 10:19:40","2026-03-13 10:25:08",84375106,84375106,"2026-03-13 10:25:08",84375106,,,,,
20260328-200a97db7215,Friendly-Matches,20260328UKRARG,Bo3,2026-03-28T13:00:00.000Z,0,84375106,,,,Planned,"2026-03-13 10:25:08","2026-03-13 23:06:19",84375106,84375106,"2026-03-13 23:06:19",84375106,,,,,
20260328-c37157c341ef,Friendly-Matches,20260328UKRARG,Bo3,2026-03-28T13:00:00.000Z,0,85577871,,,,Planned,"2026-03-13 10:25:08","2026-03-13 23:06:19",84375106,84375106,"2026-03-13 23:06:19",84375106,,,,,
20250330-d04c4a2d734e,Friendly-Matches,20250330UKRPRT,Bo3,2025-03-30T17:30:00.000Z,0,88450070,,,,Planned,"2026-03-13 15:21:33","2026-03-13 15:22:22",84375106,84375106,"2026-03-13 15:22:22",84375106,,,,,
20250407-d2c94655a397,Friendly-Matches,20250407UKRLVA,Bo3,2025-04-07T19:00:00.000Z,0,88450070,,,,Planned,"2026-03-13 16:22:43","2026-03-13 16:29:31",84375106,84375106,"2026-03-13 16:29:31",84375106,,,,,
20250407-54f546898ca9,Friendly-Matches,20250407UKRLVA,Bo3,2025-04-07T19:00:00.000Z,0,88450070,,,,Planned,"2026-03-13 16:30:12","2026-03-13 16:53:45",84375106,84375106,"2026-03-13 16:53:45",84375106,,,,,
20250407-f924d8ae6257,Friendly-Matches,20250407UKRLVA,Bo3,2025-04-07T19:00:00.000Z,0,88450070,,,,Planned,"2026-03-13 16:54:20","2026-03-13 21:25:10",84375106,84375106,"2026-03-13 21:25:10",84375106,,,,,
20250407-5c81d8c55cf2,Friendly-Matches,20250407UKRLVA,Bo3,2025-04-07T19:00:00.000Z,0,88450070,,,,Planned,"2026-03-13 21:26:24","2026-03-13 21:47:52",84375106,84375106,"2026-03-13 21:47:52",84375106,,,,,
20250407-69eaf58f05be,Friendly-Matches,20250407UKRLVA,Bo3,2025-04-07T19:00:00.000Z,0,88450070,,,,Planned,"2026-03-13 21:49:05","2026-03-13 21:59:18",84375106,84375106,"2026-03-13 21:59:18",84375106,,,,,
