id,tournament_id,match_id,duel_number,duel_format,time_utc,custom_time,player_1_id,player_2_id,status,created_by
20260221-95467007-92416909,Friendly-Matches,20260221COLUKR,6,Bo3,21/02/2026 19:00:00,0,95467007,92416909,Planned,84375106
20260222-90890134-31530981,Friendly-Matches,20260222COLARG,1,Bo3,22/02/2026 01:00:00,0,90890134,31530981,Planned,84375106
20260222-88813461-84704377,Friendly-Matches,20260222COLARG,2,Bo3,22/02/2026 01:00:00,0,88813461,84704377,Planned,84375106
20260222-84830296-95401429,Friendly-Matches,20260222COLARG,3,Bo3,22/02/2026 01:00:00,0,84830296,95401429,Planned,84375106
20260222-88270983-88036835,Friendly-Matches,20260222COLARG,4,Bo3,22/02/2026 01:00:00,0,88270983,88036835,Planned,84375106
20260222-88308531-85760461,Friendly-Matches,20260222COLARG,5,Bo3,22/02/2026 01:00:00,0,88308531,85760461,Planned,84375106
20260222-98335131-90154023,Friendly-Matches,20260222COLARG,6,Bo3,22/02/2026 01:00:00,0,98335131,90154023,Planned,84375106
20260228-98827050-84828241,Friendly-Matches,20260228COLBRA,1,Bo3,28/02/2026 14:30:00,0,98827050,84828241,Planned,84375106
20260228-88327998-88259345,Friendly-Matches,20260228COLBRA,2,Bo3,28/02/2026 14:30:00,0,88327998,88259345,Planned,84375106
20260228-84992441-88026513,Friendly-Matches,20260228COLBRA,3,Bo3,28/02/2026 14:30:00,0,84992441,88026513,Planned,84375106
20260228-92712799-87995425,Friendly-Matches,20260228COLBRA,4,Bo3,28/02/2026 14:30:00,0,92712799,87995425,Planned,84375106
20260228-89578443-32669118,Friendly-Matches,20260228COLBRA,5,Bo3,28/02/2026 14:30:00,0,89578443,32669118,Planned,84375106
20260228-84491129-95294269,Friendly-Matches,20260228COLBRA,6,Bo3,28/02/2026 14:30:00,0,84491129,95294269,Planned,84375106
20260228-84920671-94669974,Friendly-Matches,20260228COLBRA,7,Bo3,28/02/2026 14:30:00,0,84920671,94669974,Planned,84375106
20260301-90890134-94240965,Friendly-Matches,20260301COLJPN,1,Bo3,01/03/2026 13:30:00,0,90890134,94240965,Planned,84375106
20260301-85373499-91776994,Friendly-Matches,20260301COLJPN,2,Bo3,01/03/2026 13:30:00,0,85373499,91776994,Planned,84375106
